,Number of XORPUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,7500.0,71.33333333333334,71.23745819397993,0 days 00:00:53.637836,0 days 00:00:00.034999
1,3.0,5000.0,65.26666666666667,65.19706078824315,0 days 00:00:59.748400,0 days 00:00:00.033000
2,4.0,3750.0,64.83333333333333,64.4421975058982,0 days 00:01:06.330300,0 days 00:00:00.036002
3,5.0,3000.0,61.36666666666667,61.63522012578617,0 days 00:01:11.182947,0 days 00:00:00.027001
4,6.0,2500.0,64.66666666666666,63.79781420765027,0 days 00:01:14.424834,0 days 00:00:00.029001
5,7.0,2142.0,63.121040346782266,63.522427440633244,0 days 00:01:16.017122,0 days 00:00:00.028002
6,8.0,1875.0,64.83333333333333,64.37014522120906,0 days 00:01:24.019168,0 days 00:00:00.029001
7,9.0,1666.0,66.7889296432144,66.26016260162602,0 days 00:01:22.072930,0 days 00:00:00.027001
8,10.0,1500.0,66.7,65.37261698440207,0 days 00:01:24.647457,0 days 00:00:00.026002
9,20.0,750.0,70.56666666666666,70.79060535891499,0 days 00:02:17.882256,0 days 00:00:00.025002
