,PUF type,CRPs number,Test split Accuracy,Test split F1
0,APUF,5000.0,51.160000000000004,52.41621200311769
1,2 XOR-APUF,5000.0,53.080000000000005,44.90371066228276
2,3 XOR-APUF,5000.0,49.980000000000004,49.64767465270788
3,4 XOR-APUF,5000.0,50.54,51.76516481373123
4,5 XOR-APUF,5000.0,49.7,49.42690528855822
5,6 XOR-APUF,5000.0,49.24,47.51861042183623
6,FF-2-XOR-APUF,5000.0,51.85999999999999,42.40248863364441
7,FF-3-XOR-APUF,5000.0,49.62,49.529152474454015
8,FF-4-XOR-APUF,5000.0,49.88,49.71910112359551
9,FF-5-XOR-APUF,5000.0,50.36000000000001,51.59906396255851
10,FF-6-XOR-APUF,5000.0,49.9,48.80441446965052
11,"Generic framework(1,1,1)",5000.0,50.98666666666667,47.22182340272793
12,"Generic framework(4,4,4)",5000.0,50.46000000000001,50.29763895391612
