,Number of XOR-APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,86.1,86.51794374393792,0 days 00:00:11.880971,0 days 00:00:00.009998
1,3.0,1666.0,86.8,87.25868725868726,0 days 00:00:11.461158,0 days 00:00:00.010962
2,4.0,1250.0,87.2,87.4015748031496,0 days 00:00:11.678034,0 days 00:00:00.010966
3,5.0,1000.0,86.8,86.72032193158954,0 days 00:00:11.434493,0 days 00:00:00.010006
4,6.0,833.0,85.6,85.99221789883269,0 days 00:00:11.426030,0 days 00:00:00.009967
5,7.0,714.0,87.2,86.96537678207739,0 days 00:00:11.459035,0 days 00:00:00.009966
6,8.0,625.0,86.2,86.54970760233918,0 days 00:00:11.444033,0 days 00:00:00.009967
7,9.0,555.0,84.48448448448448,84.63825569871159,0 days 00:00:11.409618,0 days 00:00:00.008998
8,10.0,500.0,85.3,84.82972136222911,0 days 00:00:11.442033,0 days 00:00:00.008967
