,puf_seed,train_challenge_seed,test_challenge_seed,Test split Accuracy,Test split F1,Cross_val Accuracy,Cross_val sd,Cross_val split F1,Cross_val F1 sd,Training time,Testing time
0,11.0,123.0,19.0,98.0,98.0680061823802,98.00000000000001,0.3162277660168382,98.06746024732227,0.3087056149341617,0 days 00:00:07.582321,0 days 00:00:02.609397
1,67.0,21.0,44.0,98.14,98.12159159765703,98.14,0.542586398650022,98.12420729343124,0.5387174945607053,0 days 00:00:07.643571,0 days 00:00:02.776312
2,82.0,34.0,1.0,95.16,95.2734375,95.16,0.4963869458396347,95.27086289527844,0.508691160751788,0 days 00:00:07.603043,0 days 00:00:02.580940
3,95.0,54.0,77.0,94.34,94.000423998304,94.33999999999999,0.6651315659326325,94.00557355311561,0.6549344836005848,0 days 00:00:07.801751,0 days 00:00:02.829327
4,324.0,221.0,453.0,97.96000000000001,97.90037052284892,97.96000000000001,0.4029888335921981,97.90194457170325,0.4081927760883069,0 days 00:00:07.871346,0 days 00:00:03.361857
5,56.0,345.0,657.0,97.02,96.95483343552013,97.02,0.5114684741017773,96.9572650981717,0.5095093060912868,0 days 00:00:08.637080,0 days 00:00:04.498890
6,70.0,676.0,557.0,91.28,91.37316976652157,91.28,0.7025667228100124,91.36748221564773,0.7529806309621125,0 days 00:00:07.917981,0 days 00:00:02.745890
7,12.0,54.0,23.0,98.44000000000001,98.44497607655502,98.44000000000001,0.18547236990991425,98.44529600463494,0.18213129792060695,0 days 00:00:07.645201,0 days 00:00:02.684373
8,123.0,33.0,44.0,94.38,94.67096529489854,94.37999999999998,0.4261455150532507,94.66903173027666,0.42695164721115564,0 days 00:00:07.858577,0 days 00:00:02.947454
9,39.0,15.0,84.0,97.38,97.31722301863608,97.38,0.3310589071449373,97.31833660641736,0.33130494227892426,0 days 00:00:07.637434,0 days 00:00:02.861598
