,PUF type,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,APUF,5000.0,97.1,97.12586719524282,0 days 00:00:03.866351,0 days 00:00:00.009999
1,2 XOR-APUF,5000.0,91.10000000000001,90.6610703043022,0 days 00:00:06.097054,0 days 00:00:00.007999
2,3 XOR-APUF,5000.0,90.3,90.23162134944613,0 days 00:00:08.494001,0 days 00:00:00.006998
3,4 XOR-APUF,5000.0,87.8,87.7755511022044,0 days 00:00:10.864029,0 days 00:00:00.007000
4,5 XOR-APUF,5000.0,84.1,84.4574780058651,0 days 00:00:13.285011,0 days 00:00:00.006999
5,6 XOR-APUF,5000.0,83.6,83.95303326810175,0 days 00:00:15.591001,0 days 00:00:00.007999
6,FF-2-XOR-APUF,5000.0,92.9,92.79187817258882,0 days 00:00:18.767861,0 days 00:00:00.008001
7,FF-3-XOR-APUF,5000.0,91.10000000000001,91.43407122232917,0 days 00:00:27.345047,0 days 00:00:00.008000
8,FF-4-XOR-APUF,5000.0,87.4,87.47514910536779,0 days 00:00:35.817167,0 days 00:00:00.007000
9,FF-5-XOR-APUF,5000.0,86.4,86.77042801556422,0 days 00:00:44.506303,0 days 00:00:00.008000
10,FF-6-XOR-APUF,5000.0,83.2,83.33333333333334,0 days 00:00:53.093181,0 days 00:00:00.007999
11,"Generic framework(1,1,1)",5000.0,84.26666666666667,85.19447929736512,0 days 00:00:50.419372,0 days 00:00:00.012000
12,"Generic framework(2,2,2)",5000.0,75.43333333333334,75.27675276752768,0 days 00:00:50.391670,0 days 00:00:00.009999
13,"Generic framework(3,3,3)",5000.0,65.7885961987329,59.318001586042826,0 days 00:00:50.149001,0 days 00:00:00.010999
14,"Generic framework(4,4,4)",5000.0,82.69999999999999,81.16152450090745,0 days 00:00:50.350028,0 days 00:00:00.009972
15,"Generic framework(5,5,5)",5000.0,67.80000000000001,72.28915662650603,0 days 00:00:50.068096,0 days 00:00:00.011001
16,"Generic framework(6,6,6)",5000.0,75.75858619539846,72.82242990654207,0 days 00:00:50.279115,0 days 00:00:00.010001
