,Number of APUF,CRPs number,Test split Accuracy,Test split F1,Training time,Testing time
0,2.0,2500.0,98.2,98.32402234636871,0 days 00:00:03.918753,0 days 00:00:00.009922
1,3.0,1666.0,98.3,98.35748792270532,0 days 00:00:04.255154,0 days 00:00:00.010000
2,4.0,1250.0,96.3,96.36898920510303,0 days 00:00:03.796924,0 days 00:00:00.008998
3,5.0,1000.0,97.2,97.1311475409836,0 days 00:00:03.799462,0 days 00:00:00.008380
4,6.0,833.0,97.39999999999999,97.37373737373738,0 days 00:00:03.793562,0 days 00:00:00.009000
5,7.0,714.0,98.3,98.2741116751269,0 days 00:00:03.834568,0 days 00:00:00.008998
6,8.0,625.0,98.5,98.41605068637803,0 days 00:00:03.857990,0 days 00:00:00.008511
7,9.0,555.0,97.2972972972973,97.25888324873097,0 days 00:00:04.014583,0 days 00:00:00.009395
8,10.0,500.0,98.8,98.83495145631068,0 days 00:00:04.100525,0 days 00:00:00.020002
9,20.0,250.0,96.2,96.3531669865643,0 days 00:00:04.074706,0 days 00:00:00.009999
